Country,Region,Continent,YEAR,Fertility Rate,Life Expectancy,Total Population
Chile,South America,Americas,1960,4.697,57.015,8141820.0
Chile,South America,Americas,1961,4.655,57.537,8313535.0
Chile,South America,Americas,1962,4.602,57.771,8486120.0
Chile,South America,Americas,1963,4.536,57.15,8656006.0
Chile,South America,Americas,1964,4.457,58.738,8825046.0
Chile,South America,Americas,1965,4.364,59.455,8994936.0
Chile,South America,Americas,1966,4.259,59.689,9161649.0
Chile,South America,Americas,1967,4.144,60.72,9326268.0
Chile,South America,Americas,1968,4.025,61.63,9491502.0
Chile,South America,Americas,1969,3.902,61.905,9656299.0
Chile,South America,Americas,1970,3.778,62.491,9820481.0
Chile,South America,Americas,1971,3.654,62.732,9984378.0
Chile,South America,Americas,1972,3.53,62.281,10145765.0
Chile,South America,Americas,1973,3.409,63.905,10307842.0
Chile,South America,Americas,1974,3.293,64.901,10472743.0
Chile,South America,Americas,1975,3.182,66.279,10639531.0
Chile,South America,Americas,1976,3.078,65.855,10804869.0
Chile,South America,Americas,1977,2.981,67.402,10969861.0
Chile,South America,Americas,1978,2.892,68.074,11137748.0
Chile,South America,Americas,1979,2.812,68.186,11304331.0
Chile,South America,Americas,1980,2.744,68.84,11469828.0
Chile,South America,Americas,1981,2.689,69.909,11637613.0
Chile,South America,Americas,1982,2.648,70.299,11807408.0
Chile,South America,Americas,1983,2.619,70.011,11976513.0
Chile,South America,Americas,1984,2.601,70.46,12147758.0
Chile,South America,Americas,1985,2.592,71.176,12326396.0
Chile,South America,Americas,1986,2.589,71.81,12514502.0
Chile,South America,Americas,1987,2.59,72.54,12712784.0
Chile,South America,Americas,1988,2.591,72.456,12918389.0
Chile,South America,Americas,1989,2.589,72.467,13128619.0
Chile,South America,Americas,1990,2.579,72.574,13342868.0
Chile,South America,Americas,1991,2.558,73.574,13561945.0
Chile,South America,Americas,1992,2.478,74.135,13782297.0
Chile,South America,Americas,1993,2.43,74.195,13998386.0
Chile,South America,Americas,1994,2.377,74.614,14210674.0
Chile,South America,Americas,1995,2.303,74.609,14416796.0
Chile,South America,Americas,1996,2.245,74.899,14615483.0
Chile,South America,Americas,1997,2.177,75.596,14809289.0
Chile,South America,Americas,1998,2.112,75.669,14996742.0
Chile,South America,Americas,1999,2.044,76.018,15176410.0
Chile,South America,Americas,2000,1.987,76.87,15351799.0
Chile,South America,Americas,2001,1.961,76.773,15523978.0
Chile,South America,Americas,2002,1.935,77.445,15693790.0
Chile,South America,Americas,2003,1.873,77.387,15859112.0
